"No.","Time","Source","Destination","Protocol","Length","Info"
"169","4.575928","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=137733 Win=62780 Len=0"
"170","4.648167","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=140085 Win=62780 Len=0"
"171","4.648386","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=140085 Ack=1 Win=17520 Len=1460"
"172","4.649100","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=141545 Ack=1 Win=17520 Len=1460"
"173","4.649993","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=143005 Ack=1 Win=17520 Len=1460"
"174","4.650926","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=144465 Ack=1 Win=17520 Len=1460"
"175","4.651858","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=145925 Ack=1 Win=17520 Len=1460"
"176","4.652735","192.168.1.102","128.119.245.12","TCP","946","1161 > 80 [PSH, ACK] Seq=147385 Ack=1 Win=17520 Len=892"
"177","4.747988","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=143005 Win=62780 Len=0"
"178","4.844598","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=145925 Win=62780 Len=0"
"179","4.920051","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=148277 Win=62780 Len=0"
"180","4.920310","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=148277 Ack=1 Win=17520 Len=1460"
"181","4.921025","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=149737 Ack=1 Win=17520 Len=1460"
"182","4.921916","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=151197 Ack=1 Win=17520 Len=1460"
"183","4.922820","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=152657 Ack=1 Win=17520 Len=1460"
"184","4.923863","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=154117 Ack=1 Win=17520 Len=1460"
"185","4.924667","192.168.1.102","128.119.245.12","TCP","946","1161 > 80 [PSH, ACK] Seq=155577 Ack=1 Win=17520 Len=892"
"186","5.019189","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=151197 Win=62780 Len=0"
"187","5.104175","Intel_52:2b:23","Broadcast","ARP","42","Who has 192.168.1.1?  Tell 192.168.1.100"
"188","5.105060","LinksysG_da:af:73","Intel_52:2b:23","ARP","42","192.168.1.1 is at 00:06:25:da:af:73"
"189","5.106121","192.168.1.100","192.168.1.1","UDP","175","Source port: 44265  Destination port: 1900"
"190","5.125019","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=154117 Win=62780 Len=0"
"191","5.197286","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=156469 Win=62780 Len=0"
"192","5.197508","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=156469 Ack=1 Win=17520 Len=1460"
"193","5.198388","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=157929 Ack=1 Win=17520 Len=1460"
"194","5.199275","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=159389 Ack=1 Win=17520 Len=1460"
"195","5.200252","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=160849 Ack=1 Win=17520 Len=1460"
"196","5.201150","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=162309 Ack=1 Win=17520 Len=1460"
"197","5.202024","192.168.1.102","128.119.245.12","TCP","326","1161 > 80 [PSH, ACK] Seq=163769 Ack=1 Win=17520 Len=272"
"198","5.297257","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=159389 Win=62780 Len=0"
"199","5.297341","192.168.1.102","128.119.245.12","TCP","104","1161 > 80 [PSH, ACK] Seq=164041 Ack=1 Win=17520 Len=50"
"200","5.389471","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=162309 Win=62780 Len=0"
"201","5.447887","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=164041 Win=62780 Len=0"
"202","5.455830","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=164091 Win=62780 Len=0"
